time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,-1341.24941966322,-211.58584080492582,-76.62800595913919,0.2359366342129405,-1.9602104433363035,0.22082976895106302,766.1513091585973,-149.6950783874483,594.9702405287017,-622.1690365165257,-1392.8633108334527,123.42225707631255,0.0,1458.7908027349774,-412.2412385702038,-157.46259690138055,32.88350971306645,-158.13076547740567,167.98522757912247,0.0,1992.340879539707,244.1501258991779,-1306.9025915569146,-346.62176136618484,1013.2703156937984,1138.2171759311195,-1416.9612530957536,2.71326244427642,199.6014030254468,-726.3013289763412,-1241.463089540863,-8.045039786363488e-19,-209.07165805723164
0.0166667,-2474.271615727226,-749.053920998152,-283.6368123209101,3.456583043766055,-3.161221266202169,-0.3736672979630834,1387.0728751394122,154.84398385763183,1567.2654819195936,-1014.9580221189301,-2667.3360722656016,-313.18010470762596,0.0,2772.4666948231356,-1102.574094169192,-159.15329961279608,281.5812070461198,-663.2437631181206,-5.810475372655201,0.0,3696.908004566553,1080.300195900133,-2811.2286675073,-908.6469383510776,3184.6274960858946,2044.1257982808504,-3430.1003219911977,-432.1249249876414,601.8256266003931,-2132.3544169960564,-2137.105326266361,-3.201866308762931e-19,607.6369583064064
0.0333333,-3607.2870136716533,-1286.5187763893466,-490.64437663232707,6.677210129479361,-4.362224883017509,-0.9681607979019626,2007.9907155982823,459.3812188719931,2539.5548895507054,-1407.7446509921347,-3941.801186876476,-749.7798468826331,0.0,4086.134704871706,-1792.9028077793307,-160.84399218001562,530.2774121959736,-1168.3537300869111,-179.60513555230074,0.0,5401.464902211104,1916.445249010702,-4315.545717519283,-1470.6687431916528,5355.971648360965,2950.0289851897187,-5443.227312076387,-866.9605033956528,1004.0474368348249,-3538.3990687141168,-3032.7421891491867,1.641278109854881e-19,1424.340674428147
0.05,-2509.1788369969745,-1244.2430625946317,-635.6618383993829,7.180496487870862,-2.708940414039459,-1.5043823250791104,1802.7915739851392,784.720652649954,1838.3314614071528,-350.4954893368069,-2331.463383941618,-1114.0905655393433,0.0,3043.2313002567957,-1474.0300108553095,-146.46874416865103,825.0489765958214,-994.3627769304693,-417.57808113927376,0.0,3642.970693747348,2008.9544395589667,-2832.35293517801,-1416.7794020820543,4569.6473497540965,1690.4567473856316,-4123.208934923571,-1203.28008504434,750.0758430963065,-3114.774029874082,-1228.221732402716,2.2537233977693077e-18,2603.488067600361
0.0666667,-1527.1336249907677,-876.4552824782161,-790.3162866296352,3.848527189433429,-2.1202836632461066,-1.2360686305227517,2105.364233681365,696.5999830511215,349.110056787251,992.2324438823831,-490.6232699106525,-1135.401044871048,0.0,2157.6761872774255,-768.6129825922629,-439.7926139457429,1088.8680262392736,-403.76431469250923,-377.69944987657266,0.0,1892.6779573015322,1529.6087298835087,-573.2670037229482,-1222.526465613003,2048.152310398156,407.24472614264243,-1690.1929795960712,-1278.956666007436,137.12670445590783,-1771.3649420241359,692.1558291074047,3.2637056270215627e-18,3168.568918195607
0.0833333,-990.4971123168405,-427.2512949213602,-747.005515237983,-1.0854750618487248,-2.821067115804345,-0.2776517424308807,2329.697307932772,330.8725600357948,-794.2592292696373,1632.4438252639723,168.49545027596176,-1217.1774185579545,0.0,1637.3565639814078,-156.21038799025143,-645.943070111828,1057.3143732857025,55.00631242069468,-286.88955414288097,0.0,844.8111581554078,681.3568089822404,941.7623739278083,-777.1426748824772,-643.1840776330806,-92.76890592520532,205.00214521004298,-1033.0379954949829,-236.50345665247963,-193.24552750426145,835.5798294985968,-1.7031099874408131e-19,2143.9835167730357
0.1,-720.6941051813662,-117.74234092984506,-415.76607460794463,-4.380817945685824,-3.411250431512393,0.8175279579952536,1916.4252333186412,43.92246599772668,-815.7575994280746,1236.22003038472,-306.1222247754775,-1624.2882262060807,0.0,1256.5938789115385,77.44573826097002,-385.1719910826588,783.1431980388589,243.11329212006476,-338.2349187487758,0.0,403.23744036193233,-157.3959099905186,1121.7526711287796,-92.66922623361658,-2092.3328000657752,56.223072592323454,684.7301626768924,-607.744863262035,-21.3468605929256,928.1742010617877,-808.1886552275552,-8.708237300427377e-18,-63.16021876784278
0.1166667,-486.2070154958745,-12.10933076198164,-14.087870481856104,-5.105623011970975,-2.6328695799833364,1.437181785930344,1080.641896975781,-4.6835281169562215,-46.95285526167019,407.820231698489,-662.4414968956094,-1767.9003941789458,0.0,844.0763647267381,6.9774655564871155,106.54540424442918,482.5250426042557,385.85396299636596,-368.8478601769941,0.0,257.1419293886768,-536.944168309175,536.1662467487195,398.2285386819268,-1818.2790688349946,220.2712573403163,254.6728973805283,-200.46576559216587,370.265798413131,1143.335517214936,-2031.5287689240677,-1.4918186014738293e-17,-1519.9029535360119
0.1333333,-104.26082461287155,-31.359149720861605,176.1299959008751,-3.843856211842002,-0.5403643939847673,1.1686159151804263,213.25440243214848,62.53398457830424,701.9498665623486,-152.3023455642754,-61.11474961027406,-840.2537956236108,0.0,207.34874084120025,-127.97199225229463,325.0839606484167,83.9588974010262,404.38926469278465,-151.50162206349347,0.0,43.44884502179477,-257.60998574678206,-105.33310188916163,340.6898824458738,-129.1677708068828,56.503056351769345,-156.643708349933,92.58452155332895,356.3191423038036,399.4037910364844,-1092.8602021216188,-4.238740686109877e-18,-937.5261601465016
0.15,440.66742056699763,-36.62756164849705,107.26797851064114,-1.0084801783283481,1.7533903734527754,0.1256037055596051,-511.9383467721614,64.96990607207665,1032.8983714728467,-253.91690448529042,1067.1803478068405,798.2993264006766,0.0,-704.3122116271724,-129.2968167161997,195.38145896847854,-593.3488587544425,-50.433266504930636,132.6749405893849,0.0,-507.5901562357779,301.13490064599205,-491.1537392435667,42.34897326588455,1763.8562698856663,-309.7616979826063,-104.09923316620954,151.3989833304635,-8.696380838234193,-674.1659522463729,980.5148122584834,3.026823878084747e-17,626.0669204220765
