time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03312795929556149,0.03828663954246372,-0.0036004481069390575,-0.009506189256441212,-0.03925509208748423,-0.039097409979752855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003202148793225522,-0.007257193149028722,0.0,0.0,0.0,0.0,0.0,0.0,-0.036286990566870285,0.0,0.04035946640052898,-0.004609758242486514,0.0,0.0,0.0
0.0166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033207449597581734,0.03831221713767231,-0.0036192435658059497,-0.009507958741680738,-0.03919740003579064,-0.03904376981260374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032845924879094613,-0.007276222739159332,0.0,0.0,0.0,0.0,0.0,0.0,-0.03621954219051808,0.0,0.040426082565577344,-0.0046378215589542695,0.0,0.0,0.0
0.0333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033288956679348836,0.03831873466932334,-0.0036736079800445435,-0.009547718130846665,-0.03918811041497514,-0.03903200051422254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033590567876170263,-0.007294561751007409,0.0,0.0,0.0,0.0,0.0,0.0,-0.036214931095815917,0.0,0.04048536560430025,-0.00469892304257926,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03336336561999144,0.03829583033786927,-0.0037763555074831244,-0.009641384377161798,-0.03925423395438708,-0.03908585151646303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003419645778096273,-0.007313431092161118,0.0,0.0,0.0,0.0,0.0,0.0,-0.0363077318889445,0.0,0.04052705411340436,-0.0048038110775803335,0.0,0.0,0.0
0.0666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03341867067333848,0.03824659141859172,-0.003912716623538266,-0.009775108085319076,-0.03938271711624978,-0.03919387046274922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003463173233105823,-0.0073323601456605015,0.0,0.0,0.0,0.0,0.0,0.0,-0.036481058933345446,0.0,0.040544417474634,-0.004937633048439478,0.0,0.0,0.0
0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03345254732976957,0.038184137379869254,-0.004056228252004301,-0.0099203677993089,-0.03953522200024567,-0.0393228303441632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003492501416197122,-0.007349844706614234,0.0,0.0,0.0,0.0,0.0,0.0,-0.036685831434149246,0.0,0.0405411556402864,-0.005075816249952967,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033468760150797146,0.03812091094625135,-0.004186488544714378,-0.010054529002096989,-0.03968089176376428,-0.03944602975275256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035106749827232943,-0.007364285104104955,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688192060505455,0.0,0.04052488031106466,-0.005199810698773518,0.0,0.0,0.0
0.1166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033469714605625825,0.03806470297271083,-0.004291031309594323,-0.010164386682209599,-0.039805095291208986,-0.03955128976695435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035162067477071584,-0.007373666938872186,0.0,0.0,0.0,0.0,0.0,0.0,-0.03704944567689216,0.0,0.040500402414768766,-0.005297971318647459,0.0,0.0,0.0
0.1333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334589939378532,0.03802050595566128,-0.004363693968629546,-0.010243222427389492,-0.039900878567665034,-0.039632855142711976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035086781619809385,-0.007376917677626523,0.0,0.0,0.0,0.0,0.0,0.0,-0.037178410968088715,0.0,0.040472421276365994,-0.005364687122690296,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03344452122874019,0.03798666384312784,-0.004414009027001213,-0.010299395958047797,-0.03997329163068008,-0.03969471624428885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003495535416189898,-0.007376645187764632,0.0,0.0,0.0,0.0,0.0,0.0,-0.03727579615223204,0.0,0.04044611863456143,-0.005409906195296698,0.0,0.0,0.0
