time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.05904519933604348,0.06553543454512427,0.05525339366008014,0.039353399468997206,0.07120012786435342,0.0529732197934799,0.02602609294467196,0.0,0.0,0.0,0.0,0.0,-0.0002594302567740877,0.00030310675536191915,-0.01231063159134254,-0.005466366253732619,0.057031584706697204,-0.051924658481541736,-0.044494187523925664,-0.03488200631007197,-0.051383774695238645,-0.04588214121747471,-0.03661788945858423,0.06253073527536235,-0.003758039905177836,0.0,0.0,-0.01972267822790971,0.00670317422818846,-0.015642449837587537,-0.017761605713889062,0.016100664924355714,0.027891407601502837,0.0,-0.05832316609218699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0166667,0.057727051278672815,0.0645395882594168,0.056044796972163094,0.040166663016144064,0.07077468987050219,0.051812055519157164,0.026748024264479663,0.0,0.0,0.0,0.0,0.0,-0.00024963419374145,0.0003250517947951343,-0.011241327503278503,-0.004693538136924752,0.060557182497107405,-0.05185930940885222,-0.04375784920104417,-0.03384719780852112,-0.05180190303008629,-0.045712619936275845,-0.03598570812217819,0.06301221724525075,-0.004699373839927278,0.0,0.0,-0.018575445347973913,0.006105363123914458,-0.016172652541138647,-0.018206553273464952,0.016432171001064488,0.02837368234342413,0.0,-0.05915333885652613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0333333,0.05657354685166344,0.06362939029565119,0.05670633138882014,0.040967418842049054,0.07031672603331521,0.050795584314662565,0.02745570229864682,0.0,0.0,0.0,0.0,0.0,-0.00023912885920177762,0.00034513215035616686,-0.010365365610673189,-0.003999384266142833,0.06394463596621201,-0.05181204127400358,-0.0431006029112406,-0.03293779974027638,-0.052137360750135954,-0.04547733092424137,-0.035344104834834085,0.0634432036071044,-0.005551814082585771,0.0,0.0,-0.017515085815023517,0.005549420047804464,-0.01666784533350495,-0.01868256837939181,0.01681048113280855,0.02889958465649469,0.0,-0.05984326466347833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.05566519107237909,0.06288704304844611,0.0571745666283745,0.04161760250596158,0.06989442503565328,0.04999474606541234,0.02805919673113397,0.0,0.0,0.0,0.0,0.0,-0.0002284027793445322,0.00037574472150120824,-0.00975768845616969,-0.0033867709081190443,0.06689212175317756,-0.051854240845322516,-0.04263241634077388,-0.032264600401199925,-0.05240616290943206,-0.04520733650943193,-0.03474200897542335,0.06376041514878239,-0.006251653054976325,0.0,0.0,-0.016616505634284275,0.005072836696680163,-0.017030090069730427,-0.01907621897316756,0.017152897447645202,0.02936439015310199,0.0,-0.060299576488984236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0666667,0.055025812474822876,0.062352982275145574,0.057421378040741794,0.04200763534435601,0.06954371648939851,0.0494259217057278,0.028465360315335125,0.0,0.0,0.0,0.0,0.0,-0.00021612376256746998,0.00039829578056952504,-0.009351888726236834,-0.002854115378681695,0.06921611692611498,-0.05194306339765203,-0.04231906073311419,-0.031788912362474275,-0.05259556568694471,-0.04492337396714016,-0.034201480397407745,0.06391441044670293,-0.006774771669520243,0.0,0.0,-0.015887071567270296,0.004698382689761366,-0.01720877350976687,-0.019289600041894815,0.017364657440566148,0.029650360728185953,0.0,-0.06049732661182099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0833333,0.054649427555648535,0.06203636875758882,0.05749443913495871,0.04215126387747647,0.06929748103549752,0.04908440693724871,0.02865144113836952,0.0,0.0,0.0,0.0,0.0,-0.0002078522782405748,0.00041503401851968416,-0.009073104698695322,-0.0024693772793967688,0.07074181440236463,-0.05198982430236091,-0.04209282553517549,-0.03145253385627402,-0.05268947702085123,-0.044685194221087556,-0.03379263499954466,0.06393401342137293,-0.007105252013006281,0.0,0.0,-0.015368776937695432,0.004453274639925466,-0.017248661753258804,-0.019335512960721564,0.017429055349889186,0.029739200899865502,0.0,-0.060523346995931517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0544950575136649,0.06190700814111371,0.057488166982611756,0.04215604846223709,0.06917629740796583,0.04894017485082308,0.02867724853352796,0.0,0.0,0.0,0.0,0.0,-0.00020215329004899893,0.00042922070088211636,-0.008895403090687514,-0.0023021254618874228,0.07140794226609169,-0.05195585856489146,-0.04192994347432796,-0.031241002572806653,-0.05270497097276008,-0.0445622306228913,-0.033590263284725044,0.06389845433146188,-0.00724978407409538,0.0,0.0,-0.015109376460111902,0.0043476578316141755,-0.017242209864671735,-0.01930534667508221,0.017406090599030404,0.029709826659094274,0.0,-0.06051074121541799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1166667,0.05449553245547664,0.061907912313577895,0.05746983799141889,0.0421184015910783,0.06916495864399025,0.04893786153817581,0.028624388114979006,0.0,0.0,0.0,0.0,0.0,-0.0001996893186537275,0.00043318761433095755,-0.008811340603095684,-0.0023289553154454655,0.07137843174512509,-0.05186666126617345,-0.04183420810987313,-0.031149075389370996,-0.05267522472657465,-0.04456149407575708,-0.033585809422130096,0.06386560432652484,-0.0072512788625497294,0.0,0.0,-0.01508400923512983,0.004354199080744974,-0.017245018345239053,-0.01927258197349831,0.01736086978540781,0.029647578308526174,0.0,-0.0605267759421668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1333333,0.054585022829193725,0.061983480985470095,0.057449540753895606,0.04206727561722855,0.0692206586709128,0.0490180026349858,0.028543072241804395,0.0,0.0,0.0,0.0,0.0,-0.00019859318101972468,0.00043448253041842026,-0.008809873177586289,-0.002453191568371746,0.07096053469138641,-0.051777736613168895,-0.04181089595848485,-0.031157850654156598,-0.052628709576575894,-0.0446284914399226,-0.03369394024776225,0.06384337450961743,-0.007170178736296533,0.0,0.0,-0.015200288342750846,0.0044225111642013475,-0.017249695833458173,-0.019247586468841945,0.017317060875599984,0.029585329047773695,0.0,-0.06054947166126982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.05470693717019731,0.062086375860026355,0.05741103798113644,0.041993543597002726,0.0692945324222329,0.04912717380431621,0.028455914787247977,0.0,0.0,0.0,0.0,0.0,-0.00019853861861955394,0.00043438537158043653,-0.008873103922440595,-0.0025769176470823163,0.0704735261572461,-0.05174094024763928,-0.04185613435589172,-0.03123716621791148,-0.05259038358038949,-0.044697880558560006,-0.03381480634857759,0.063814431320664,-0.007065794324682054,0.0,0.0,-0.01534983853076008,0.004501416863379805,-0.017224810659286757,-0.019207039224197656,0.01727036082029911,0.0295205803332284,0.0,-0.060530206945984794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
