time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02628586516261373,0.019331254462250484,0.0,0.0,0.0,0.0,0.02364114084852818,0.02094385875662654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024052196779856372,0.0,0.0,0.0,0.0,0.0,-0.04164534904238677,0.01664995625948771,0.03092216698329301,0.03775664586859177,0.0,-0.015043431908623794,0.0,0.0,-0.04033032415256286,-0.0350677655161519,-0.03824711844126901
0.0166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026359805110495443,0.019522610549862297,0.0,0.0,0.0,0.0,0.023887954472919585,0.020975939175660985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023480383072905963,0.0,0.0,0.0,0.0,0.0,-0.041401440785249016,0.016183657783457667,0.03069769910639004,0.037422180907168805,0.0,-0.014835656524792757,0.0,0.0,-0.0403255699463938,-0.03506238632375441,-0.038270708887312925
0.0333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026453880600471262,0.019722935044130606,0.0,0.0,0.0,0.0,0.024142635748164977,0.021025925479086462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022963350657115696,0.0,0.0,0.0,0.0,0.0,-0.04118251932559876,0.015740166543831067,0.030497744910635588,0.03711969055958579,0.0,-0.014615632402061679,0.0,0.0,-0.04030677771762406,-0.035042725244279246,-0.03827994658567508
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02656307972914211,0.019916276412392818,0.0,0.0,0.0,0.0,0.024386155298474186,0.021082936084408883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022528996480536224,0.0,0.0,0.0,0.0,0.0,-0.041012968598802865,0.015345080178235642,0.03033791378883027,0.03687170517991742,0.0,-0.014400881701111505,0.0,0.0,-0.04027781307657863,-0.035012781322456346,-0.03827681535577466
0.0666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026667254142743835,0.020082098284048708,0.0,0.0,0.0,0.0,0.024592867676825617,0.021139076236801523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02219197741004602,0.0,0.0,0.0,0.0,0.0,-0.04089209136533857,0.01502686864504602,0.030220645779211065,0.03668395503241108,0.0,-0.014214850487400184,0.0,0.0,-0.04024578993447606,-0.03497984040572611,-0.0382661798439175
0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267475706677967,0.020201299901326547,0.0,0.0,0.0,0.0,0.024740942580409125,0.021183116247419156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021966448973976066,0.0,0.0,0.0,0.0,0.0,-0.040816228126798824,0.014808083056744682,0.030145779177574484,0.03656098195955058,0.0,-0.014080079672720885,0.0,0.0,-0.0402191338457381,-0.03495249108039916,-0.038254525144990684
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026799313728660186,0.02026881525103388,0.0,0.0,0.0,0.0,0.02482608325053356,0.021209407634917552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021850304046518287,0.0,0.0,0.0,0.0,0.0,-0.04078256760099314,0.014687467930838756,0.030110161611937716,0.03650168483881329,0.0,-0.014003362491195815,0.0,0.0,-0.04020278727170728,-0.03493574171467177,-0.03824655096890939
0.1166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026827557207246173,0.02029438776035236,0.0,0.0,0.0,0.0,0.02485857703703417,0.02121953433636075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021818330206740864,0.0,0.0,0.0,0.0,0.0,-0.04078254742913366,0.014642368620331307,0.030104461493022868,0.03649201875102821,0.0,-0.013974232539289297,0.0,0.0,-0.04019636985048907,-0.034929170030953,-0.03824328263035374
0.1333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02683941196677858,0.020294281517199163,0.0,0.0,0.0,0.0,0.024858924570629087,0.021219219450410408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021833816037663968,0.0,0.0,0.0,0.0,0.0,-0.0408019498358589,0.014642555341303981,0.03011533884664897,0.0365094638917501,0.0,-0.013974353643940323,0.0,0.0,-0.0401963967643955,-0.03492919758759021,-0.03824329648560862
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026848033578568572,0.02029210266245813,0.0,0.0,0.0,0.0,0.02485671601851601,0.021218149440855517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021850104364521998,0.0,0.0,0.0,0.0,0.0,-0.04082234822806177,0.01464638583488893,0.030126363150384472,0.03652630400064908,0.0,-0.01397683713062875,0.0,0.0,-0.04019694825788504,-0.03492976225896681,-0.038243580125027175
