time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02628586516261372,0.019331254462250477,0.0,0.0,0.0,0.0,0.02364114084852817,0.020943858756626528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02405219677985636,0.0,0.0,0.0,0.0,0.0,-0.04164534904238675,0.016649956259487703,0.030922166983292997,0.03775664586859176,0.0,-0.015043431908623787,0.0,0.0,-0.04033032415256284,-0.03506776551615187,-0.03824711844126899
0.0166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026359805110495432,0.01952261054986229,0.0,0.0,0.0,0.0,0.023887954472919574,0.020975939175660974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023480383072905953,0.0,0.0,0.0,0.0,0.0,-0.04140144078524899,0.01618365778345766,0.030697699106390027,0.03742218090716879,0.0,-0.01483565652479275,0.0,0.0,-0.04032556994639378,-0.035062386323754385,-0.0382707088873129
0.0333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02645388060047125,0.019722935044130595,0.0,0.0,0.0,0.0,0.024142635748164967,0.021025925479086452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022963350657115685,0.0,0.0,0.0,0.0,0.0,-0.04118251932559873,0.01574016654383106,0.030497744910635574,0.03711969055958578,0.0,-0.014615632402061672,0.0,0.0,-0.04030677771762403,-0.03504272524427922,-0.03827994658567506
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0265630797291421,0.019916276412392808,0.0,0.0,0.0,0.0,0.024386155298474176,0.021082936084408872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022528996480536214,0.0,0.0,0.0,0.0,0.0,-0.04101296859880284,0.015345080178235635,0.030337913788830256,0.036871705179917405,0.0,-0.014400881701111498,0.0,0.0,-0.0402778130765786,-0.03501278132245632,-0.03827681535577463
0.0666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026667254142743825,0.020082098284048697,0.0,0.0,0.0,0.0,0.024592867676825607,0.021139076236801512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02219197741004601,0.0,0.0,0.0,0.0,0.0,-0.04089209136533854,0.015026868645046014,0.03022064577921105,0.036683955032411064,0.0,-0.014214850487400177,0.0,0.0,-0.04024578993447604,-0.03497984040572608,-0.038266179843917475
0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02674757066779669,0.020201299901326537,0.0,0.0,0.0,0.0,0.024740942580409115,0.021183116247419146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021966448973976056,0.0,0.0,0.0,0.0,0.0,-0.0408162281267988,0.014808083056744675,0.03014577917757447,0.03656098195955056,0.0,-0.014080079672720878,0.0,0.0,-0.040219133845738074,-0.034952491080399134,-0.038254525144990656
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026799313728660176,0.02026881525103387,0.0,0.0,0.0,0.0,0.02482608325053355,0.02120940763491754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021850304046518276,0.0,0.0,0.0,0.0,0.0,-0.04078256760099312,0.014687467930838749,0.030110161611937702,0.036501684838813275,0.0,-0.014003362491195808,0.0,0.0,-0.04020278727170726,-0.034935741714671745,-0.03824655096890936
0.1166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026827557207246163,0.02029438776035235,0.0,0.0,0.0,0.0,0.02485857703703416,0.02121953433636074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021818330206740854,0.0,0.0,0.0,0.0,0.0,-0.040782547429133634,0.0146423686203313,0.030104461493022854,0.0364920187510282,0.0,-0.01397423253928929,0.0,0.0,-0.04019636985048905,-0.03492917003095297,-0.03824328263035371
0.1333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02683941196677857,0.020294281517199152,0.0,0.0,0.0,0.0,0.024858924570629076,0.021219219450410397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021833816037663958,0.0,0.0,0.0,0.0,0.0,-0.04080194983585887,0.014642555341303974,0.030115338846648958,0.03650946389175009,0.0,-0.013974353643940316,0.0,0.0,-0.04019639676439548,-0.03492919758759018,-0.03824329648560859
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02684803357856856,0.02029210266245812,0.0,0.0,0.0,0.0,0.024856716018516,0.021218149440855507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021850104364521988,0.0,0.0,0.0,0.0,0.0,-0.04082234822806175,0.014646385834888923,0.030126363150384458,0.03652630400064907,0.0,-0.013976837130628743,0.0,0.0,-0.040196948257885015,-0.03492976225896678,-0.038243580125027155
