time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027700337264194772,0.02052306590972369,0.0,0.0,0.0,0.0,0.02501895228536651,0.021286411797105824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02289637082570371,0.0,0.0,0.0,0.0,0.0,-0.04174092552560216,0.014702127169142832,0.030898986558325358,0.037710210231178244,0.0,-0.01400820408969664,0.0,0.0,-0.04043969573829985,-0.03515958631590786,-0.038483995341705074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0166667,0.0,0.0,0.0,0.0,0.0,0.0,0.02769103358113895,0.020586710004556488,0.0,0.0,0.0,0.0,0.025092802647692654,0.02131345871416046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022709531455444913,0.0,0.0,0.0,0.0,0.0,-0.041567774114389514,0.014589749030285542,0.030803241498230292,0.037568952905110385,0.0,-0.013934861139930173,0.0,0.0,-0.040423547461275536,-0.03514303731962073,-0.038475655963817364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0333333,0.0,0.0,0.0,0.0,0.0,0.0,0.027733578055789326,0.020710280770349008,0.0,0.0,0.0,0.0,0.02524343740533226,0.0213675835649893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022438261032575908,0.0,0.0,0.0,0.0,0.0,-0.04139127444936787,0.014376774519963763,0.03068738489757562,0.03738763553453874,0.0,-0.013791804355299347,0.0,0.0,-0.04039012447363395,-0.03510882399538645,-0.03845719515209851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02784700388589515,0.02090892096843361,0.0,0.0,0.0,0.0,0.025490201406684034,0.021458843066593822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022059871930999623,0.0,0.0,0.0,0.0,0.0,-0.0412098077854696,0.014047486003789755,0.030553517344040135,0.037165225703614115,0.0,-0.013560030854075509,0.0,0.0,-0.040331029254526446,-0.03504843092135633,-0.038421649037003396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0666667,0.0,0.0,0.0,0.0,0.0,0.0,0.027994683726708165,0.021136936469035673,0.0,0.0,0.0,0.0,0.025777369968668563,0.02156979184751294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02165131637799867,0.0,0.0,0.0,0.0,0.0,-0.04103416127141968,0.01368691449985555,0.030423152091645478,0.03693926532193539,0.0,-0.013291236514303322,0.0,0.0,-0.04025568370595773,-0.034971565050172584,-0.03837265947041766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.028116962964768753,0.02131765430237213,0.0,0.0,0.0,0.0,0.026007138669808978,0.02166481291624671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02133996094815272,0.0,0.0,0.0,0.0,0.0,-0.040899750835789436,0.013412697476934923,0.030328004200864206,0.03677060314190258,0.0,-0.013076117326025143,0.0,0.0,-0.04019070749884117,-0.03490536742434131,-0.03832811899689807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02817996976890872,0.02140465413328413,0.0,0.0,0.0,0.0,0.026117277073017305,0.021710478758165983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02120043833608747,0.0,0.0,0.0,0.0,0.0,-0.04083670288946929,0.013283977986894631,0.03028611167540658,0.0366965936194503,0.0,-0.0129719006336924,0.0,0.0,-0.040157863891305344,-0.03487193186287775,-0.03830498321275219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1166667,0.0,0.0,0.0,0.0,0.0,0.0,0.028194832168066765,0.021413067510489398,0.0,0.0,0.0,0.0,0.026129480039893644,0.021714800728752016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021204234678784288,0.0,0.0,0.0,0.0,0.0,-0.0408379283733723,0.01327163759529486,0.030288609326009443,0.03670267907780467,0.0,-0.012961799701757634,0.0,0.0,-0.04015463546593956,-0.03486864607442465,-0.03830268931541188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1333333,0.0,0.0,0.0,0.0,0.0,0.0,0.028193366208622044,0.021390651582552985,0.0,0.0,0.0,0.0,0.026103810439979187,0.02170228340094206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021265515700283982,0.0,0.0,0.0,0.0,0.0,-0.04086980860674079,0.013304557807084625,0.030310911545737142,0.03674336538123829,0.0,-0.012988702984553263,0.0,0.0,-0.04016321674619019,-0.03487738014386424,-0.03830877906380815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.028195123762836394,0.021373468527748116,0.0,0.0,0.0,0.0,0.02608540953934544,0.02169286945699723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021312678523593514,0.0,0.0,0.0,0.0,0.0,-0.04090027632671182,0.013329883386981824,0.030330921326985727,0.03677815168837757,0.0,-0.013009306702321848,0.0,0.0,-0.040169750672816744,-0.03488403109413917,-0.03831339949636081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
