time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02770033726419476,0.02052306590972368,0.0,0.0,0.0,0.0,0.0250189522853665,0.021286411797105814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228963708257037,0.0,0.0,0.0,0.0,0.0,-0.04174092552560213,0.014702127169142825,0.030898986558325344,0.03771021023117823,0.0,-0.014008204089696634,0.0,0.0,-0.04043969573829982,-0.035159586315907834,-0.038483995341705046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0166667,0.0,0.0,0.0,0.0,0.0,0.0,0.027691033581138936,0.020586710004556478,0.0,0.0,0.0,0.0,0.025092802647692643,0.02131345871416045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022709531455444902,0.0,0.0,0.0,0.0,0.0,-0.04156777411438949,0.014589749030285535,0.03080324149823028,0.03756895290511037,0.0,-0.013934861139930166,0.0,0.0,-0.04042354746127551,-0.0351430373196207,-0.038475655963817336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0333333,0.0,0.0,0.0,0.0,0.0,0.0,0.027733578055789312,0.020710280770348997,0.0,0.0,0.0,0.0,0.02524343740533225,0.02136758356498929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022438261032575898,0.0,0.0,0.0,0.0,0.0,-0.04139127444936785,0.014376774519963756,0.030687384897575606,0.03738763553453873,0.0,-0.01379180435529934,0.0,0.0,-0.04039012447363393,-0.03510882399538642,-0.03845719515209848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.027847003885895137,0.020908920968433598,0.0,0.0,0.0,0.0,0.025490201406684024,0.021458843066593812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022059871930999612,0.0,0.0,0.0,0.0,0.0,-0.04120980778546958,0.014047486003789748,0.03055351734404012,0.0371652257036141,0.0,-0.013560030854075504,0.0,0.0,-0.04033102925452642,-0.0350484309213563,-0.03842164903700337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0666667,0.0,0.0,0.0,0.0,0.0,0.0,0.02799468372670815,0.021136936469035663,0.0,0.0,0.0,0.0,0.025777369968668553,0.02156979184751293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02165131637799866,0.0,0.0,0.0,0.0,0.0,-0.04103416127141965,0.013686914499855544,0.030423152091645464,0.03693926532193537,0.0,-0.013291236514303317,0.0,0.0,-0.04025568370595771,-0.03497156505017256,-0.03837265947041764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.02811696296476874,0.02131765430237212,0.0,0.0,0.0,0.0,0.026007138669808968,0.0216648129162467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02133996094815271,0.0,0.0,0.0,0.0,0.0,-0.040899750835789415,0.013412697476934918,0.030328004200864192,0.036770603141902565,0.0,-0.013076117326025137,0.0,0.0,-0.04019070749884114,-0.034905367424341284,-0.038328118996898045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.028179969768908707,0.02140465413328412,0.0,0.0,0.0,0.0,0.026117277073017295,0.021710478758165973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02120043833608746,0.0,0.0,0.0,0.0,0.0,-0.040836702889469265,0.013283977986894626,0.030286111675406565,0.03669659361945029,0.0,-0.012971900633692395,0.0,0.0,-0.040157863891305316,-0.03487193186287772,-0.038304983212752164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1166667,0.0,0.0,0.0,0.0,0.0,0.0,0.02819483216806675,0.021413067510489388,0.0,0.0,0.0,0.0,0.026129480039893634,0.021714800728752006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021204234678784278,0.0,0.0,0.0,0.0,0.0,-0.04083792837337227,0.013271637595294854,0.03028860932600943,0.036702679077804654,0.0,-0.012961799701757629,0.0,0.0,-0.04015463546593954,-0.03486864607442462,-0.03830268931541185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1333333,0.0,0.0,0.0,0.0,0.0,0.0,0.02819336620862203,0.021390651582552975,0.0,0.0,0.0,0.0,0.026103810439979176,0.02170228340094205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021265515700283972,0.0,0.0,0.0,0.0,0.0,-0.04086980860674077,0.01330455780708462,0.03031091154573713,0.03674336538123828,0.0,-0.012988702984553258,0.0,0.0,-0.04016321674619016,-0.03487738014386421,-0.03830877906380812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.02819512376283638,0.021373468527748105,0.0,0.0,0.0,0.0,0.02608540953934543,0.021692869456997218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021312678523593503,0.0,0.0,0.0,0.0,0.0,-0.040900276326711796,0.013329883386981819,0.030330921326985713,0.03677815168837756,0.0,-0.013009306702321843,0.0,0.0,-0.040169750672816716,-0.034884031094139144,-0.038313399496360784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
