,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0,0.0,115.29289733687447,148.9825632233136,40.81018588514646,-0.2904405332731367,0.4612490619552208,0.08232308727878444,-67.33075647693946,-119.11806953992271,-150.1957886126483,-31.311976562015563,29.277213130301647,73.75528832574742,0.0,-122.08662025727443,241.1193178306466,17.887390812562874,57.84595889260072,-57.118775692878806,-87.42764305570675,0.0,-138.28624212114758,-172.54810567944324,-76.13921027874956,-385.30758650534244,97.19817192903196,-1005.6926916506554,780.9100637561078,541.7655375940401,-243.65991925220237,14.003867184269005,-380.28813650927503,321.2853028967316,193.69099891284304
1,0.0166667,76.97529903111983,113.91299424105797,43.32839054038875,-0.2062080853596864,0.30546082122352664,0.06900205589273224,-47.419288178790936,-86.36531744630513,-114.4455506869154,-28.775294272965443,44.57154769647863,88.45271226894765,0.0,-82.09306769144459,182.32447214916868,29.45016555400285,40.29679222153017,-74.65031737536506,-88.02324799567076,0.0,-63.09149815344509,-154.6648370580377,-77.3958178907778,-386.3963597354625,16.854057678847944,-821.8980963175793,707.8021059536381,465.6968392766829,-196.5880724185022,95.51380552231295,-353.17604973719483,214.6062240200685,164.99012027737706
2,0.0333333,42.211127552252876,75.55616561382712,43.83895481642841,-0.11112027622938142,0.15547053825217855,0.049782752513611875,-30.4110014453183,-51.26035282182367,-71.65185013937166,-24.65715442434674,55.887745936034676,95.03270935394998,0.0,-44.41754054846838,120.0815308116074,40.67099511561787,24.79445340769322,-88.29662693178904,-86.08009870534951,0.0,0.9741432194450272,-128.25294974632754,-69.47557253689948,-352.38779943226615,-54.87590230666749,-590.5687333065439,583.8415691473843,353.76512829961945,-135.63724539991944,161.87861014447267,-298.81845779561377,93.2684959278183,124.0643793989946
3,0.05,16.693904696277972,38.226616804503344,40.76771609230571,-0.014875378805880388,0.039389359557901,0.0243101972040323,-19.479098461723012,-17.97145854963197,-24.611213904212565,-20.001244099751133,59.080717595312436,88.50866786164295,0.0,-14.786682699677476,61.90244838910941,49.316796484391936,13.635604101906388,-93.95755559180665,-79.82945043971405,0.0,40.92669662745145,-93.96168665251261,-49.11772242715331,-275.41139228569904,-104.33971442831162,-329.7077596642754,407.32810108544203,209.4189356050622,-63.714524044529256,196.02469026376974,-211.18979362417627,-29.939350829816437,72.49474549486776
4,0.0666667,4.019211306963546,10.934066306453664,33.826350726066174,0.0566562413397107,-0.010995578055946937,-0.002042534896173457,-15.73464236235289,5.599264711459434,15.634153076123368,-18.24321095483228,52.0779845170709,70.45726863981223,0.0,1.8254355988461755,21.05583760787841,52.42524051680771,7.3560897650966375,-90.52900730991115,-69.30827367656283,0.0,50.71069770142019,-60.91938871634513,-21.322829911375408,-180.32083900366638,-121.08335925144112,-111.87804013520233,227.70305882143901,73.54493927229443,0.3587871305832273,189.6043609625195,-110.92292983415501,-120.15548796872503,24.752036768937796
5,0.0833333,1.2331917267247963,-1.49083294670739,24.537217318570764,0.08310177200157665,0.004306287450058883,-0.022435319189817067,-16.53685068812975,15.583928112815451,39.299323687992484,-22.003886195705256,36.86611318747174,48.70384500756784,0.0,6.9220526310649415,3.1951557975519433,48.877175052181144,3.7302193747858112,-82.32729609014338,-56.71724429774864,0.0,38.449449742903624,-37.85746668980374,3.8900469212500264,-103.31393789463529,-107.8105979906781,3.2636866432904412,102.70088721803174,-12.387289246330802,37.494869099670154,152.5207092645373,-31.182082945139495,-149.4637070368303,-4.919217907996046
6,0.1,1.4907882713978224,-2.304775663199713,15.47521497503441,0.06479237367232536,0.0482029051001995,-0.03268286097508713,-17.570882856338592,15.144862729626446,44.47591334802766,-29.894406320660572,18.203064109009375,31.46140719400082,0.0,7.300238991185033,1.8511213453747368,40.10031234421395,0.4595519338343641,-75.7825853447797,-45.14589023242694,0.0,19.653488295082834,-25.97430659942526,18.228245031009017,-62.89385591211359,-77.70515453672681,16.377579819525387,54.115446236481546,-38.3004171180195,42.7215405814558,105.82606787749211,5.5356086422891115,-118.67585128453265,-13.488128844451406
7,0.1166667,0.2095813193094695,0.9316338948179297,8.619607711249397,0.020814626095652648,0.07576008634798875,-0.03262432702818841,-16.195221053694105,10.775396144694518,36.59232499025303,-36.67383097243729,0.7080646879546735,21.492990230206736,0.0,8.993374954497813,5.414313750121794,28.67531968004294,-1.9106766325533435,-73.49725956305147,-36.56244582544393,0.0,5.105689416798969,-19.951394151655226,19.889610262991898,-50.26012772643324,-44.5280427971291,-22.608997325854183,59.60852596438913,-25.764125737577096,27.071059903584207,66.42194976031396,1.6973620169201502,-56.01120531546016,-8.83946084114025
8,0.1333333,-2.561977190030155,2.378289005582242,4.249875410942336,-0.024316742276046945,0.06580060261661547,-0.025213940191885983,-12.383681444663623,7.143349657103999,23.905092205726,-36.793531898382184,-12.574153147424411,16.09299772744904,0.0,13.35595456549896,6.011902011396961,16.85500390951905,-0.9196275592420375,-72.41875594304959,-30.92194107948285,0.0,-3.0448563101283455,-14.267407206457083,12.940967770650747,-44.32699535931825,-16.902856907843898,-59.05947689870375,78.77076091485111,-4.863202630765948,7.880586020804298,39.744610908462235,-20.6371540064057,2.1511457196090973,-1.5270632805846431
9,0.15,-4.512699891594043,0.7573113653919974,1.306942252956904,-0.05332092779976309,0.02882019769198558,-0.014765045679983154,-7.3166801203423875,5.118931002125036,13.367965904290571,-28.053373078067608,-19.87890405827815,11.563280519276201,0.0,17.853026549348623,2.629197938258112,6.169372030540824,4.408161727222158,-67.46457346990388,-26.832248290237267,0.0,-6.991602544098058,-7.62236043727491,3.2466595286741073,-31.711956035758995,1.676419441590562,-66.81835471902808,83.30518240090854,6.555454885197796,-2.9649254680018213,23.110404783459146,-38.00601775287391,32.569793772034146,2.355826305143971
