Left_shoulder_Y_Coordinate,Right_shoulder_Y_Coordinate
-168.01999999999998,-168.03999999999996
-164.79999999999995,-164.83999999999992
-164.93499999999995,-164.9849999999999
-179.52499999999986,-179.53499999999985
-185.23500000000013,-179.65499999999997
-176.48000000000002,-171.01
-182.6099999999999,-182.43999999999983
-173.70000000000027,-173.48000000000025
-176.64999999999986,-176.66999999999985
-156.43499999999995,-156.29499999999985
-158.83500000000004,-153.39499999999998
-161.74,-156.0
-159.10500000000002,-153.31500000000005
-155.99,-155.88999999999987
-156.23000000000002,-161.98000000000002
-159.12499999999977,-164.80499999999984
-153.385,-159.125
-156.06999999999994,-179.57999999999993
-150.45000000000005,-167.80999999999995
-156.05999999999995,-167.9599999999998
-167.63500000000022,-173.87500000000023
-167.92499999999995,-179.385
-176.35500000000025,-182.31500000000005
-164.69000000000005,-176.6300000000001
-173.53999999999996,-179.59000000000015
-164.7349999999999,-176.57500000000005
-161.89499999999998,-162.19499999999994
-158.87000000000012,-164.83000000000015
-158.9949999999999,-170.7750000000001
-150.3599999999999,-162.0
-144.50000000000023,-173.62000000000012
-147.32500000000005,-176.50499999999988
-153.19000000000005,-170.69000000000005
-159.04500000000007,-176.78500000000008
-159.12499999999977,-176.75499999999988
-156.04999999999995,-173.83999999999992
-158.99500000000012,-182.34500000000003
-170.63499999999976,-170.75499999999988
-164.8699999999999,-176.6099999999999
-164.91000000000008,-170.62000000000012
-170.90999999999985,-171.01999999999998
-164.7099999999998,-165.0999999999999
-167.50499999999988,-173.50499999999988
-173.48000000000002,-168.03999999999996
-179.21500000000015,-179.375
-159.1049999999998,-159.1049999999998
-164.96499999999992,-164.89499999999998
-156.39499999999998,-156.31500000000005
-153.43499999999995,-153.44499999999994
-159.0999999999999,-153.30999999999995
-153.2349999999999,-147.385
-167.70499999999993,-155.99500000000012
-158.93000000000006,-153.19000000000005
-164.70000000000005,-152.99
-153.44000000000005,-153.27999999999997
-150.62999999999988,-162.15999999999985
-150.60000000000014,-162.09000000000015
-158.94999999999982,-159.3699999999999
-165.01999999999998,-170.51
-167.9000000000001,-173.37000000000012
-167.67499999999995,-179.14499999999998
-155.77499999999986,-173.36499999999978
-159.02999999999997,-182.77999999999997
-173.40499999999997,-185.16499999999996
-170.53500000000008,-176.70499999999993
-170.73500000000013,-176.69500000000016
-161.7449999999999,-167.95499999999993
-153.28999999999996,-159.27999999999997
-147.625,-165.10500000000002
-153.19000000000005,-170.95000000000005
-147.39499999999998,-158.96499999999992
-153.22500000000014,-159.03500000000008
-150.5250000000001,-161.94499999999994
-153.38999999999987,-158.98000000000002
-161.89999999999986,-162.05999999999995
-150.5,-150.60000000000014
-173.79999999999995,-173.92000000000007
-164.81499999999983,-165.14499999999998
-168.06999999999994,-173.54999999999995
-173.52499999999986,-173.54499999999985
-170.52999999999975,-176.28999999999974
-167.96499999999992,-173.51499999999987
-170.53500000000008,-176.55500000000006
-176.5250000000001,-176.6450000000002
-165.01999999999998,-164.92999999999984
-164.77499999999986,-164.78499999999985
-153.21500000000015,-153.2550000000001
-147.76999999999998,-147.43000000000006
-147.69000000000005,-147.44000000000005
-153.1650000000002,-147.43500000000017
-153.17000000000007,-147.66000000000008
-153.55999999999995,-153.27999999999997
-153.42499999999995,-153.45499999999993
-158.86500000000024,-153.43500000000017
-153.45000000000005,-153.51999999999998
-173.46499999999992,-173.54500000000007
-176.7550000000001,-176.7550000000001
-179.29500000000007,-179.45500000000015
-164.95000000000027,-182.4000000000001
-153.30999999999995,-182.47000000000003
-153.16000000000008,-176.58000000000015
-150.20000000000005,-173.72000000000003
-159.02999999999997,-182.52999999999997
-173.6500000000001,-179.76999999999998
-179.24,-179.78999999999996
-173.51,-179.6500000000001
-161.625,-167.84500000000003
-165.09000000000015,-170.86000000000013
-153.36000000000013,-158.9000000000001
-150.30500000000006,-156.33500000000004
-156.00499999999988,-156.2449999999999
-156.18999999999983,-155.91999999999985
-150.31000000000017,-150.23000000000002
-164.93500000000017,-159.35500000000002
-167.69499999999994,-167.65499999999997
-168.01999999999998,-167.91999999999985
-176.56000000000017,-176.6500000000001
-173.58500000000004,-173.45499999999993
-182.21000000000004,-176.48000000000002
-170.77499999999986,-170.70499999999993
