nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,mid_hip,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear,left_big_toe,left_small_toe,left_heel,right_big_toe,right_small_toe,right_heel
"(2950.49, 1366.43)","(2991.7, 1425.18)","(2985.48, 1425.28)","(2956.31, 1478.56)","(2932.64, 1454.81)","(3003.49, 1419.56)","(3068.07, 1478.4)","(3003.33, 1484.5)","(2997.64, 1554.91)","(2997.41, 1554.86)","(2997.65, 1660.9)","(3074.15, 1755.09)","(3009.24, 1560.76)","(2932.74, 1625.66)","(3020.98, 1672.83)","(2950.45, 1349.02)","(2968.09, 1349.02)","(nan, nan)","(2991.64, 1366.53)","(3038.54, 1749.3)","(3038.8, 1737.41)","(3032.58, 1672.67)","(3033.07, 1784.54)","(3038.99, 1772.81)","(3085.98, 1761.09)"
"(2938.59, 1354.72)","(2979.65, 1407.87)","(2950.53, 1413.7)","(2944.52, 1478.25)","(2915.1, 1448.91)","(2985.98, 1407.65)","(3038.95, 1478.29)","(2985.9, 1484.48)","(2985.73, 1543.3)","(2985.7, 1548.99)","(2991.85, 1666.5)","(3073.92, 1754.92)","(2985.9, 1543.26)","(2897.34, 1619.93)","(2985.86, 1678.47)","(2938.54, 1348.85)","(2944.48, 1343.31)","(nan, nan)","(2979.6, 1360.57)","(2991.56, 1713.94)","(2985.88, 1713.72)","(2991.75, 1672.95)","(3033.08, 1767.16)","(3044.64, 1766.88)","(3085.69, 1760.74)"
"(2920.85, 1348.96)","(2944.72, 1413.69)","(2938.34, 1419.49)","(2903.2, 1460.64)","(2879.8, 1431.38)","(2973.81, 1407.83)","(3032.56, 1472.42)","(2979.64, 1472.55)","(2950.55, 1537.27)","(2950.43, 1537.31)","(2985.99, 1649.18)","(3062.21, 1731.63)","(2956.37, 1537.32)","(2879.69, 1619.61)","(2950.35, 1696.14)","(2921.02, 1348.78)","(2932.73, 1343.14)","(nan, nan)","(2950.3, 1354.86)","(2944.34, 1719.98)","(2944.7, 1719.84)","(2968.11, 1696.32)","(3038.56, 1767.13)","(3039, 1766.8)","(3079.94, 1743.47)"
"(2897.49, 1348.85)","(2938.33, 1402.02)","(2897.69, 1407.77)","(2885.64, 1472.55)","(2856.38, 1431.53)","(2950.62, 1401.88)","(3026.82, 1472.36)","(2974.07, 1478.3)","(2938.42, 1531.51)","(2932.61, 1531.6)","(2979.89, 1631.69)","(3044.76, 1725.73)","(2938.75, 1531.47)","(2850.37, 1613.82)","(2926.95, 1707.87)","(2897.35, 1343.06)","(2903.56, 1343)","(nan, nan)","(2938.74, 1354.74)","(2909.12, 1725.8)","(2926.81, 1720.12)","(2938.54, 1708)","(3038.58, 1767.11)","(3038.82, 1766.75)","(3074.05, 1737.4)"
"(2885.72, 1343.2)","(2903.21, 1396.08)","(2885.6, 1396)","(2862.19, 1448.89)","(2850.21, 1431.25)","(2938.35, 1395.94)","(2991.52, 1460.75)","(2944.42, 1472.57)","(2903.53, 1531.16)","(2903.39, 1531.22)","(2968.03, 1631.4)","(3038.6, 1719.87)","(2909.3, 1531.14)","(2838.38, 1596.21)","(2891.43, 1713.61)","(2891.31, 1342.91)","(2891.71, 1342.86)","(nan, nan)","(2920.85, 1349.03)","(2850.63, 1743.39)","(2879.73, 1737.6)","(2897.42, 1714)","(3038.6, 1761.03)","(3038.76, 1755.22)","(3050.57, 1725.68)"
"(2856.45, 1343.27)","(2891.36, 1395.93)","(2850.43, 1395.92)","(2850.28, 1460.62)","(2844.31, 1449.05)","(2915, 1395.91)","(2979.89, 1460.83)","(2909.14, 1472.52)","(2891.43, 1531.16)","(2885.61, 1531.21)","(2938.87, 1619.84)","(3027.06, 1713.62)","(2891.75, 1531.17)","(2809.13, 1607.79)","(2844.65, 1719.56)","(2856.16, 1342.89)","(2879.67, 1342.85)","(nan, nan)","(2897.43, 1348.96)","(2809.21, 1743.4)","(2832.56, 1749.26)","(2850.63, 1720.05)","(3032.66, 1731.57)","(3032.87, 1725.69)","(3038.56, 1714.07)"
"(2844.61, 1342.94)","(2861.98, 1390.39)","(2844.11, 1390.35)","(2832.51, 1437.26)","(2814.94, 1431.26)","(2891.78, 1390.29)","(2944.75, 1443.24)","(2897.31, 1466.62)","(2873.78, 1525.62)","(2862.08, 1525.6)","(2932.68, 1625.51)","(3015.14, 1713.69)","(2879.76, 1525.6)","(2797.42, 1607.92)","(2803.07, 1719.76)","(2844.61, 1337.28)","(2850.54, 1337.34)","(nan, nan)","(2885.45, 1349.02)","(2767.82, 1737.47)","(2791.39, 1749.13)","(2809.15, 1725.75)","(3026.95, 1725.86)","(3027.04, 1725.65)","(3032.58, 1713.98)"
"(2826.84, 1342.76)","(2850.18, 1395.87)","(2820.92, 1390.39)","(2820.81, 1443.14)","(2797.26, 1431.06)","(2873.93, 1395.86)","(2938.53, 1460.63)","(2879.76, 1466.51)","(2850.12, 1525.72)","(2850.07, 1525.72)","(2897.45, 1625.53)","(2997.53, 1684.61)","(2850.3, 1525.73)","(2785.63, 1613.9)","(2767.89, 1719.86)","(2838.32, 1337.21)","(2838.63, 1337.16)","(nan, nan)","(2850.65, 1348.78)","(2738.49, 1731.52)","(2750.32, 1743.31)","(2785.52, 1725.88)","(3015.24, 1719.93)","(3021.01, 1719.76)","(3026.86, 1690.27)"
"(2803.15, 1342.74)","(2838.33, 1396.03)","(2803.08, 1396)","(2791.53, 1436.99)","(2785.42, 1431.08)","(2856.09, 1395.96)","(2920.84, 1460.64)","(2850.53, 1454.74)","(2838.47, 1531.24)","(2832.67, 1531.27)","(2879.75, 1625.54)","(2979.76, 1672.71)","(2838.61, 1531.25)","(2762.11, 1619.56)","(2750.28, 1719.9)","(2803.4, 1337.29)","(2809.14, 1337.14)","(nan, nan)","(2844.42, 1348.85)","(2709.2, 1731.59)","(2726.79, 1743.37)","(2755.83, 1725.94)","(2991.87, 1713.87)","(2991.61, 1707.95)","(2991.57, 1667.05)"
"(2791.44, 1342.79)","(2803.36, 1395.93)","(2779.71, 1395.92)","(2762.05, 1454.93)","(2756.16, 1431.32)","(2844.1, 1395.87)","(2891.59, 1460.66)","(2844.35, 1466.63)","(2808.99, 1531.2)","(2803.25, 1531.26)","(2850.31, 1625.69)","(2944.41, 1660.82)","(2815.12, 1531.18)","(2755.95, 1619.48)","(2726.59, 1719.77)","(2797.1, 1337.2)","(2797.44, 1337.16)","(nan, nan)","(2815.11, 1343.29)","(2703.01, 1725.61)","(2709.15, 1731.63)","(2726.76, 1725.83)","(2974.02, 1678.68)","(2968, 1672.97)","(2956.35, 1649.07)"
